"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"24","19","Reactome Pathways","","mTORC1-mediated signalling","0.0018","LAMTOR5|RHEB|RRAGB|EEF2K|LAMTOR1|EIF4EBP1|LAMTOR4|MTOR|LAMTOR2|RRAGD|YWHAB|RRAGC|RPS6|RRAGA|AKT1S1|SLC38A9|FKBP1A|EIF4G1|EIF4E","128","3997|4135|4078|35650|4021|22912|3991|1234|4003|4084|18526|4102|7681|4066|4216|4036|35830|14362|14353","1.7E-4","","HSA-166208","0.2744727494896694","0"
"201","79","Reactome Pathways","","Intra-Golgi and retrograde Golgi-to-ER traffic","0.0018","ARF5|M6PR|SNAP29|GOSR1|SYS1|TUBA4A|CYTH4|COPB1|ACTR10|ARF3|DYNC1LI2|KDELR2|DCTN3|MAN2A1|TMED2|KIF18A|ARFGAP3|KIF1B|ARCN1|KIF3C|TRIP11|GALNT1|DYNC1LI1|AGPAT3|STX5|COG5|TMED3|TMED10|ARF4|KIF5B|GCC2|RAB1B|RAB6A|ARFGAP1|TUBA3E|KIF1C|COPB2|KDELR1|TMED9|MAN1A2|DYNC1H1|GOLGA4|RAB3GAP2|KIF21A|CAPZA2|GALNT2|COPA|MAN1A1|STX16|GOLGA1|KIF4A|RGP1|ALPP|DYNLL1|PAFAH1B1|KIF16B|TGOLN2|KDELR3|RAB1A|CAPZB|VPS53|DCTN2|VPS52|DCTN4|KLC1|RAB9A|KIF13B|ARFGAP2|PAFAH1B2|TUBA1A|ARF1|PAFAH1B3|COPZ1|GOSR2|COPE|RAB18|ARFIP2|CYTH2|TMF1","128","217|643|4030|4849|13177|4771|511|613|421|565|337|475|349|12160|439|325|553|355|529|379|45373|12100|343|36016|20464|20356|445|463|625|367|868|523|253|589|37264|361|559|469|403|45403|397|841|10249|331|451|12082|547|12112|847|45361|319|66229|31699|427|32551|313|883|391|505|493|820|415|835|373|457|790|307|571|74245|18454|619|38560|541|20458|583|77218|607|295|55351","1.8E-4","","HSA-6811442","0.2744727494896694","0"
"162","67","Reactome Pathways","","S Phase","0.0018","PSMA4|CDC6|PSMD8|RBX1|PSMA3|PSME2|STAG2|PSMD7|PSMA2|CDC25B|GINS2|CABLES1|CDK4|PSMB7|PSMC1|PSMD11|ANAPC5|RBL2|PSMB1|PSMD3|PSMB6|PSMA5|RPS27A|PSMB4|RAD21|WAPL|LIN37|PDS5A|UBE2E1|PSMD1|PSMC5|CKS1B|SMC1A|GSK3B|PSMF1|PSMD12|CDC16|UBE2C|ANAPC11|SMC3|PSMD4|PSMA7|PSMB2|RBBP4|POLE3|CDC26|E2F4|RFC1|PSME1|STAG1|AKT2|PSME4|CDKN1A|PSMD14|UBA52|PSMC2|PSMD13|PSMA1|PSMD6|TFDP2|PSMD9|ORC4|ANAPC16|ANAPC10|PSMC3|PSMB3|PSMC6","128","5251|1600|6172|3607|6196|6136|20899|6232|6280|17464|17602|92377|1876|6274|6202|6310|5815|17614|6238|6166|6256|6226|6118|6262|17458|32842|17521|20836|5860|6214|6304|5695|11995|1972|6130|6244|4618|5707|5485|14467|4915|2464|6220|11293|17536|5425|17671|17290|6142|32836|14839|6148|1816|6208|6106|6289|6154|6250|6268|17548|5962|17695|5296|5725|6298|6184|6178","1.7E-4","","HSA-69242","0.2744727494896694","0"
"57","32","Reactome Pathways","","mRNA 3-end processing","0.0018","PAPOLA|PABPN1|FYTTD1|DDX39A|THOC2|SYMPK|SRSF1|THOC1|CASC3|CPSF6|DHX38|UPF3B|THOC7|SLU7|PCF11|MAGOHB|WDR33|SRSF7|SRRM1|THOC6|NCBP2|CHTOP|CDC40|SRSF11|MAGOH|SRSF3|SRSF4|SRSF2|POLDIP3|SRSF5|RNPS1|RBM8A","128","26635|5338|27043|13735|20947|21829|14665|14557|10450|20746|10372|20800|50443|10456|26851|10444|26857|20995|10411|33400|13570|21694|10558|26800|10429|17848|20917|16333|22690|14488|10279|2440","1.7E-4","","HSA-72187","0.2744727494896694","0"
"80","40","Reactome Pathways","","Recruitment of mitotic centrosome proteins and complexes","0.0019","HAUS3|TUBA4A|TUBGCP6|CEP135|DCTN3|CLASP1|YWHAE|CEP131|NINL|CEP164|HAUS1|YWHAG|PRKACA|SSNA1|PPP2R1A|PCM1|HSP90AA1|TUBB|CDK5RAP2|AKAP9|DYNC1H1|SDCCAG8|CNTRL|MAPRE1|CEP78|MZT1|CDK11A|CCP110|DYNLL1|CDK1|CSNK1E|PAFAH1B1|CSNK1D|DCTN2|CEP192|CKAP5|TUBA1A|TUBGCP2|CEP290|CDK11B","128","56458|4771|75637|66196|349|32632|12601|64000|66109|32002|66211|24130|4390|38542|11116|4315|1228|2038|66181|4351|397|23926|66148|56827|66175|75718|17500|66142|427|17689|35962|32551|23716|415|27178|66190|18454|75712|66163|38413","1.9E-4","","HSA-380270","0.27212463990471714","0"
"72","37","Reactome Pathways","","AURKA Activation by TPX2","0.0022","HAUS3|TUBA4A|CEP135|DCTN3|CLASP1|YWHAE|CEP131|NINL|CEP164|HAUS1|TPX2|YWHAG|PRKACA|SSNA1|PPP2R1A|PCM1|HSP90AA1|TUBB|CDK5RAP2|AKAP9|DYNC1H1|SDCCAG8|CNTRL|MAPRE1|CEP78|CCP110|DYNLL1|HMMR|CDK1|CSNK1E|PAFAH1B1|CSNK1D|DCTN2|CEP192|CKAP5|TUBA1A|CEP290","128","56458|4771|66196|349|32632|12601|64000|66109|32002|66211|17587|24130|4390|38542|11116|4315|1228|2038|66181|4351|397|23926|66148|56827|66175|66142|427|3892|17689|35962|32551|23716|415|27178|66190|18454|66163","2.1E-4","","HSA-8854518","0.2657577319177794","0"
"183","73","Reactome Pathways","","RAC1 GTPase cycle","0.0022","FAM13B|GMIP|SOS2|CHN2|WIPF3|SNAP23|ARHGEF6|ARHGAP20|ARHGAP29|PIK3R3|PLD2|PIK3CA|ARHGAP31|RAB7A|ESYT1|IQGAP1|IQGAP2|ARHGAP26|DOCK11|LAMTOR1|TIAM1|NCKAP1L|ARHGAP15|KIAA0355|ABR|ARHGAP1|ARHGAP32|PAK2|DEF6|WIPF2|ARHGEF25|CDC42EP4|LBR|PLD1|PKN1|GIT2|PLEKHG1|ARHGAP30|EMD|ARHGAP4|PKN2|PREX1|ABI1|DOCK9|CYBB|TFRC|CIT|TAOK3|WIPF1|ARAP1|GIT1|KTN1|ARHGAP21|PLEKHG6|PLEKHG2|DOCK8|GNA13|ARHGAP27|DOCK4|ARHGAP22|NISCH|ABL2|DOCK2|MCF2L|SRGAP2|ARHGDIA|MYO9B|CYFIP2|WASF2|FARP1|DOCK10|ARHGEF7|ARHGAP9","128","4396|15976|22384|40819|50050|12964|18265|28564|106174|8503|28558|8656|136228|16486|10807|4363|4384|61423|61561|4021|16666|22114|9166|123643|178027|12970|61480|5821|125665|17653|8068|61591|18106|12931|12994|18706|28612|49459|37123|10609|13006|28618|22189|28708|2671|829|12958|112810|23653|277|16699|35032|28687|28606|123733|2653|8557|28537|7273|19504|72619|48082|1906|178072|45091|11515|13024|4402|18631|28927|61501|16672|10618","2.1E-4","","HSA-9013149","0.2657577319177794","0"
"84","41","Reactome Pathways","","Transcriptional regulation of white adipocyte differentiation","0.0023","NFKB1|EGR2|MED17|MED10|FABP4|CDK4|MED4|TGS1|CREBBP|EP300|PPARGC1A|NCOR1|MED13L|MED21|MED11|MED30|MED1|EBF1|CARM1|THRAP3|SREBF1|SREBF2|CDK19|ADIRF|KLF4|KLF5|NR2F2|MED13|NCOR2|NCOA1|ZNF638|CHD9|NCOA2|TBL1XR1|RXRA|CEBPA|CCNC|MED29|MED6|LPL|MED19","128","3487|2203|34540|15118|1414|1876|34321|21730|11455|2179|1513|20545|11029|34528|34399|34306|7585|9298|21421|21019|1426|22537|33709|393718|31762|31711|55879|43762|48718|46525|5173|27160|22219|43435|16927|1990|24994|34336|34534|1420|34462","2.3E-4","","HSA-381340","0.2638272163982407","0"
"81","40","Reactome Pathways","","RNA Polymerase II Pre-transcription Events","0.0023","SUPT16H|POLR2C|PAF1|POLR2I|TAF4|CCNT1|ELL|TAF12|CCNT2|AFF4|POLR2D|GTF2H2|SSRP1|POLR2J|IWS1|POLR2G|TAF7|SUPT6H|POLR2L|NCBP2|POLR2K|GTF2E2|TAF11|CTR9|CDC73|CDK9|NELFE|MLLT3|TAF9|POLR2B|RTF1|CCNK|GTF2A2|POLR2F|TAF1|POLR2H|GTF2A1|WDR61|POLR2A|POLR2E","128","21316|7573|12094|21571|23566|2416|10123|34390|27253|27271|21580|24865|17917|21544|27433|20773|34375|10132|19600|13570|21661|20827|34366|25225|8491|2008|27283|27211|34360|7375|27475|24682|25618|7204|34345|21709|34456|5551|12208|6805","2.3E-4","","HSA-674695","0.2638272163982407","0"
"99","46","Reactome Pathways","","TNFR2 non-canonical NF-kB pathway","0.0024","PSMA4|TNFRSF1A|PSMD8|PSMA3|PSME2|PSMD7|PSMA2|LTBR|PSMB7|PSMC1|TNFRSF13B|PSMD11|PSMB1|PSMD3|CD27|PSMB6|PSMA5|RPS27A|PSMB4|TNFRSF13C|PSMD1|PSMC5|PSMF1|PSMD12|PSMD4|CHUK|PSMA7|PSMB2|EDA|TNFRSF1B|PSME1|PSME4|TNFSF18|PSMD14|UBA52|PSMC2|CD70|PSMD13|LTA|PSMA1|PSMD6|PSMD9|TNFRSF11A|PSMC3|PSMB3|PSMC6","128","5251|3391|6172|6196|6136|6232|6280|2701|6274|6202|2488|6310|6238|6166|3619|6256|6226|6118|6262|2761|6214|6304|6130|6244|4915|2269|2464|6220|11437|2938|6142|6148|3106|6208|6106|6289|3112|6154|3367|6250|6268|5962|5278|6298|6184|6178","2.4E-4","","HSA-5668541","0.2619788758288394","0"
"53","30","Reactome Pathways","","Formation of TC-NER Pre-Incision Complex","0.0024","AQR|RBX1|POLR2C|POLR2I|EP300|COPS3|RPS27A|POLR2D|GTF2H2|POLR2J|COPS2|POLR2G|COPS6|POLR2L|POLR2K|USP7|COPS8|COPS5|XPA|CUL4A|POLR2B|GPS1|POLR2F|COPS7B|UBA52|POLR2H|COPS4|COPS7A|POLR2A|POLR2E","128","10120|3607|7573|21571|2179|25435|6118|21580|24865|21544|25525|20773|5290|19600|21661|10006|19150|5917|25138|17437|7375|11920|7204|25402|6106|21709|5326|25252|12208|6805","2.4E-4","","HSA-6781823","0.2619788758288394","0"
"105","48","Reactome Pathways","","Cargo recognition for clathrin-mediated endocytosis","0.0024","M6PR|CD4|CLTA|NEDD8|SYT1|VAMP7|CBL|WNT5A|SCARB2|COPS3|RPS27A|COPS2|CD3D|COPS6|IL7R|DAB2|EPN2|AP2A2|HGS|TOR1A|COPS8|ITSN2|COPS5|AP2A1|EPS15|UBQLN1|ITSN1|GPS1|TFRC|GRB2|PICALM|SH3KBP1|TGOLN2|AAK1|COPS7B|AGFG1|UBA52|FCHO2|AP2M1|TGFA|EPN1|COPS4|CD3G|COPS7A|STON2|AP2S1|CLTC|NECAP1","128","643|670|742|4822|38587|862|11374|18913|808|25435|6118|25525|646|5290|676|736|20299|754|784|2971|19150|409|5917|766|658|4834|385|11920|829|2014|724|28627|883|4759|25402|814|6106|50020|796|2110|9070|5326|700|25252|20320|760|853|61657","2.4E-4","","HSA-8856825","0.2619788758288394","0"
"73","37","Reactome Pathways","","Transport of Mature mRNA derived from an Intron-Containing Transcript","0.0026","NUP107|NUP155|FYTTD1|DDX39A|THOC2|NUP210|SRSF1|THOC1|CASC3|DHX38|UPF3B|RANBP2|THOC7|SLU7|MAGOHB|SRSF7|SRRM1|THOC6|NCBP2|TPR|CHTOP|CDC40|SRSF11|MAGOH|SRSF3|SRSF4|NUP160|SEC13|SRSF2|SEH1L|POLDIP3|NXF1|NUP153|SRSF5|RNPS1|RBM8A|NUP62","128","21430|9712|27043|13735|20947|21391|14665|14557|10450|10372|20800|18490|50443|10456|10444|20995|10411|33400|13570|5089|21694|10558|26800|10429|17848|20917|10198|21556|16333|21475|22690|26668|21340|14488|10279|2440|20734","2.6E-4","","HSA-159236","0.2585026652029182","0"
"35","23","Reactome Pathways","","RHOBTB GTPase Cycle","0.0026","TXNL1|CDC37|STK38|CCT7|CUL3|PHIP|CCT6A|COPS2|CCT2|TMOD3|RBBP6|ROCK2|SRRM1|HSP90AA1|RHOBTB1|MYO6|RBMX|GPS1|ROCK1|TRA2B|COPS4|TWF1|HNRNPC","128","5368|14398|53212|5956|4714|17230|4561|25525|4597|45016|26842|12982|10411|1228|32071|9577|20908|11920|5161|20974|5326|24031|10168","2.6E-4","","HSA-9706574","0.2585026652029182","0"
